0.000,"Info","2022-05-31 04:58:22","Service 'E_ymaze_droso' : Execution start"
0.000,"Info","Subject Identification","Y010"
0.000,"Info","Apparatus","Zantiks Unit"
0.000,"Info","Unit ID","5B0E17"
"TIME","","","ARENA","ACTION","ZONE"
601.338,"Info","Arena",1,"Enter_Zone",3
601.338,"Info","Arena",2,"Enter_Zone",1
601.338,"Info","Arena",3,"Enter_Zone",2
601.338,"Info","Arena",5,"Enter_Zone",3
601.338,"Info","Arena",6,"Enter_Zone",3
601.338,"Info","Arena",8,"Enter_Zone",4
601.338,"Info","Arena",9,"Enter_Zone",3
601.338,"Info","Arena",10,"Enter_Zone",4
601.338,"Info","Arena",11,"Enter_Zone",4
601.338,"Info","Arena",12,"Enter_Zone",1
601.338,"Info","Arena",13,"Enter_Zone",1
601.407,"Info","Arena",14,"Enter_Zone",2
602.104,"Info","Arena",8,"Exit_Zone",4
602.104,"Info","Arena",8,"Enter_Zone",2
602.504,"Info","Arena",3,"Exit_Zone",2
602.504,"Info","Arena",3,"Enter_Zone",4
602.573,"Info","Arena",3,"Exit_Zone",4
602.573,"Info","Arena",3,"Enter_Zone",2
602.671,"Info","Arena",3,"Exit_Zone",2
602.671,"Info","Arena",3,"Enter_Zone",4
604.371,"Info","Arena",13,"Exit_Zone",1
604.371,"Info","Arena",13,"Enter_Zone",4
606.370,"Info","Arena",12,"Exit_Zone",1
606.370,"Info","Arena",12,"Enter_Zone",4
606.370,"Info","Arena",13,"Exit_Zone",4
606.370,"Info","Arena",13,"Enter_Zone",3
606.504,"Info","Arena",10,"Exit_Zone",4
606.504,"Info","Arena",10,"Enter_Zone",2
606.670,"Info","Arena",8,"Exit_Zone",2
606.670,"Info","Arena",8,"Enter_Zone",4
608.337,"Info","Arena",8,"Exit_Zone",4
608.337,"Info","Arena",8,"Enter_Zone",1
608.370,"Info","Arena",12,"Exit_Zone",4
608.370,"Info","Arena",12,"Enter_Zone",3
609.136,"Info","Arena",14,"Exit_Zone",2
609.136,"Info","Arena",14,"Enter_Zone",4
609.738,"Info","Arena",13,"Exit_Zone",3
609.738,"Info","Arena",13,"Enter_Zone",4
611.036,"Info","Arena",3,"Exit_Zone",4
611.036,"Info","Arena",3,"Enter_Zone",3
612.369,"Info","Arena",14,"Exit_Zone",4
612.369,"Info","Arena",14,"Enter_Zone",1
613.404,"Info","Arena",9,"Exit_Zone",3
613.404,"Info","Arena",9,"Enter_Zone",4
614.702,"Info","Arena",12,"Exit_Zone",3
614.702,"Info","Arena",12,"Enter_Zone",4
614.802,"Info","Arena",10,"Exit_Zone",2
614.802,"Info","Arena",10,"Enter_Zone",4
616.802,"Info","Arena",12,"Exit_Zone",4
616.802,"Info","Arena",12,"Enter_Zone",2
616.835,"Info","Arena",13,"Exit_Zone",4
616.835,"Info","Arena",13,"Enter_Zone",2
617.501,"Info","Arena",3,"Exit_Zone",3
617.501,"Info","Arena",3,"Enter_Zone",4
617.701,"Info","Arena",5,"Exit_Zone",3
617.701,"Info","Arena",5,"Enter_Zone",4
618.403,"Info","Arena",8,"Exit_Zone",1
618.403,"Info","Arena",8,"Enter_Zone",4
619.435,"Info","Arena",8,"Exit_Zone",4
619.435,"Info","Arena",8,"Enter_Zone",3
619.668,"Info","Arena",10,"Exit_Zone",4
619.668,"Info","Arena",10,"Enter_Zone",1
620.601,"Info","Arena",10,"Exit_Zone",1
620.601,"Info","Arena",10,"Enter_Zone",4
620.768,"Info","Arena",3,"Exit_Zone",4
620.768,"Info","Arena",3,"Enter_Zone",1
621.967,"Info","Arena",10,"Exit_Zone",4
621.967,"Info","Arena",10,"Enter_Zone",1
622.001,"Info","Arena",10,"Exit_Zone",1
622.001,"Info","Arena",10,"Enter_Zone",4
622.034,"Info","Arena",9,"Exit_Zone",4
622.034,"Info","Arena",9,"Enter_Zone",1
622.034,"Info","Arena",10,"Exit_Zone",4
